cluster,state,region,source,uor,lat,lng,military,incorporated,timezone,ranking,zips,id,wealth,density,literacy,employment,mortality,agriculture
1001,Alabama,Autauga,polygon,U,32.6793,-86.4607,FALSE,FALSE,America/Chicago,3,36022 36051,1840023045,b:middle,moderately dense,less educated,medium employment,medium mortality,low agriculture
1003,Alabama,Baldwin,polygon,U,30.2758,-87.7014,FALSE,TRUE,America/Chicago,3,36542 36547,1840013886,b:middle,dense,moderately educated,medium employment,medium mortality,good agriculture
1005,Alabama,Barbour,polygon,U,31.781,-85.5583,FALSE,TRUE,America/Chicago,3,36048,1840003795,b:middle,moderately dense,less educated,medium employment,high mortality,low agriculture
1009,Alabama,Blount,polygon,U,33.8789,-86.8241,FALSE,FALSE,America/Chicago,3,35180,1840013654,a:poor,dense,less educated,low employment,medium mortality,low agriculture
1013,Alabama,Butler,polygon,U,31.5429,-86.7246,FALSE,TRUE,America/Chicago,3,36456,1840017055,b:middle,moderately dense,less educated,medium employment,medium mortality,best
1015,Alabama,Calhoun,polygon,U,33.6713,-85.8136,FALSE,TRUE,America/Chicago,3,36201 36206 36207 36205 36204,1840006563,a:poor,dense,less educated,low employment,low mortality,low agriculture
1017,Alabama,Chambers,polygon,U,32.7876,-85.3057,FALSE,TRUE,America/Chicago,3,36852,1840023011,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1019,Alabama,Cherokee,polygon,U,34.1839,-85.775,FALSE,TRUE,America/Chicago,3,35983,1840016636,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
1023,Alabama,Choctaw,polygon,U,32.1792,-88.3002,FALSE,TRUE,America/Chicago,3,36912,1840017015,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
1025,Alabama,Clarke,polygon,U,31.9111,-87.7419,FALSE,TRUE,America/Chicago,3,36784,1840015849,a:poor,dense,less educated,low employment,low mortality,good agriculture
1027,Alabama,Clay,polygon,U,33.3129,-85.7508,FALSE,TRUE,America/Chicago,3,36266,1840008076,a:poor,moderately dense,less educated,low employment,low mortality,best
1031,Alabama,Coffee,polygon,U,31.22,-86.1705,FALSE,TRUE,America/Chicago,3,36453,1840017090,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
1033,Alabama,Colbert,polygon,U,34.7559,-87.7007,FALSE,TRUE,America/Chicago,3,35660,1840015537,a:poor,highly dense,less educated,low employment,low mortality,good agriculture
1035,Alabama,Conecuh,polygon,U,31.3001,-87.027,FALSE,TRUE,America/Chicago,3,36432,1840017079,b:middle,moderately dense,less educated,medium employment,medium mortality,low agriculture
1039,Alabama,Covington,polygon,U,31.3006,-86.3975,FALSE,TRUE,America/Chicago,3,36420 36421,1840018178,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
1041,Alabama,Crenshaw,polygon,U,31.8495,-86.2057,FALSE,TRUE,America/Chicago,3,36049 36062,1840017045,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1043,Alabama,Cullman,polygon,U,34.0452,-86.8837,FALSE,TRUE,America/Chicago,3,35057 35077,1840016700,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1045,Alabama,Dale,polygon,U,31.2999,-85.4502,FALSE,TRUE,America/Chicago,3,36303 36350,1840003500,c:rich,dense,less educated,high employment,high mortality,low agriculture
1047,Alabama,Dallas,polygon,U,32.4166,-87.0336,FALSE,TRUE,America/Chicago,3,36703 36701 36702,1840008329,a:poor,highly dense,less educated,low employment,low mortality,good agriculture
1051,Alabama,Elmore,polygon,U,32.6314,-86.3268,FALSE,FALSE,America/Chicago,3,36092 36022,1840023043,a:poor,moderately dense,less educated,medium employment,medium mortality,low agriculture
1053,Alabama,Escambia,polygon,U,31.0127,-87.2541,FALSE,TRUE,America/Chicago,3,36441,1840006309,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
1057,Alabama,Fayette,polygon,U,33.6623,-87.6079,FALSE,TRUE,America/Chicago,3,35546,1840015661,a:poor,moderately dense,less educated,low employment,medium mortality,low agriculture
1059,Alabama,Franklin,polygon,U,34.5056,-87.7282,FALSE,TRUE,America/Chicago,3,35654 35653,1840004247,a:poor,dense,less educated,low employment,low mortality,low agriculture
1061,Alabama,Geneva,polygon,U,31.0437,-85.8764,FALSE,TRUE,America/Chicago,3,36340,1840003161,a:poor,moderately dense,less educated,low employment,low mortality,good agriculture
1063,Alabama,Greene,polygon,U,32.9938,-87.9071,FALSE,TRUE,America/Chicago,3,35462,1840016909,b:middle,moderately dense,less educated,medium employment,medium mortality,best
1065,Alabama,Hale,polygon,U,32.8785,-87.7429,FALSE,TRUE,America/Chicago,3,35441,1840015775,b:middle,dense,less educated,medium employment,medium mortality,best
1067,Alabama,Henry,polygon,U,31.3501,-85.3523,FALSE,TRUE,America/Chicago,3,36345,1840014949,a:poor,moderately dense,less educated,low employment,low mortality,good agriculture
1069,Alabama,Houston,polygon,U,31.1858,-85.2359,FALSE,TRUE,America/Chicago,3,36312,1840000737,c:rich,moderately dense,moderately educated,medium employment,medium mortality,good agriculture
1071,Alabama,Jackson,polygon,U,34.6438,-86.0491,FALSE,TRUE,America/Chicago,3,35768 35769,1840005605,a:poor,moderately dense,less educated,low employment,low mortality,good agriculture
1073,Alabama,Jefferson,polygon,U,33.544,-86.6599,FALSE,TRUE,America/Chicago,3,35210 35015,1840014797,c:rich,dense,less educated,high employment,medium mortality,best
1075,Alabama,Lamar,polygon,U,33.7589,-88.1144,FALSE,TRUE,America/Chicago,3,35592,1840005593,a:poor,moderately dense,less educated,low employment,low mortality,low agriculture
1077,Alabama,Lauderdale,polygon,U,34.9652,-87.3735,FALSE,TRUE,America/Chicago,3,35648,1840016504,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
1079,Alabama,Lawrence,polygon,U,34.6718,-87.4063,FALSE,TRUE,America/Chicago,3,35672,1840016591,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
1081,Alabama,Lee,polygon,U,32.6049,-85.5948,FALSE,TRUE,America/Chicago,3,36832 36865,1840016969,c:rich,moderately dense,less educated,high employment,high mortality,best
1083,Alabama,Limestone,polygon,U,34.9847,-86.8373,FALSE,TRUE,America/Chicago,3,35739,1840015515,b:middle,dense,less educated,medium employment,high mortality,good agriculture
1085,Alabama,Lowndes,polygon,U,32.1801,-86.6888,FALSE,TRUE,America/Chicago,3,36040,1840017006,a:poor,moderately dense,less educated,low employment,low mortality,low agriculture
1087,Alabama,Macon,polygon,U,32.4551,-85.8066,FALSE,TRUE,America/Chicago,3,36083,1840016980,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1089,Alabama,Madison,polygon,U,34.8491,-86.5222,FALSE,FALSE,America/Chicago,3,35810 35811 35759,1840013547,c:rich,dense,moderately educated,high employment,medium mortality,good agriculture
1093,Alabama,Marion,polygon,U,33.9443,-87.8704,FALSE,TRUE,America/Chicago,3,35563 35594,1840016696,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1095,Alabama,Marshall,polygon,U,34.5189,-86.2492,FALSE,TRUE,America/Chicago,3,35747,1840016620,c:rich,dense,less educated,high employment,high mortality,low agriculture
1097,Alabama,Mobile,polygon,U,30.2525,-88.1438,FALSE,TRUE,America/Chicago,3,36528,1840017141,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1099,Alabama,Monroe,polygon,U,31.3074,-87.4992,FALSE,FALSE,America/Chicago,3,36480,1840025944,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
1101,Alabama,Montgomery,polygon,U,32.3473,-86.2666,FALSE,TRUE,America/Chicago,2,36064 36112 36113 36110 36111 36117 36115 36116 36108 36105 36104 36106 36109 36107 36101 36114 36118 36120 36121 36123 36124 36125 36130 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,a:poor,highly dense,less educated,low employment,low mortality,low agriculture
1103,Alabama,Morgan,polygon,U,34.4676,-86.7936,FALSE,TRUE,America/Chicago,3,35670 35640,1840004313,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1105,Alabama,Perry,polygon,U,32.6318,-87.3172,FALSE,TRUE,America/Chicago,3,36756,1840008188,a:poor,moderately dense,less educated,low employment,low mortality,low agriculture
1109,Alabama,Pike,polygon,U,31.8021,-85.9665,FALSE,TRUE,America/Chicago,3,36079 36081 36082,1840005558,a:poor,dense,less educated,low employment,low mortality,low agriculture
1111,Alabama,Randolph,polygon,U,33.4198,-85.4903,FALSE,TRUE,America/Chicago,3,36280,1840037831,b:middle,moderately dense,less educated,medium employment,high mortality,low agriculture
1113,Alabama,Russell,polygon,U,32.2401,-85.4147,FALSE,TRUE,America/Chicago,3,36860,1840016999,c:rich,dense,less educated,high employment,high mortality,good agriculture
1117,Alabama,Shelby,polygon,U,33.2846,-86.8756,FALSE,TRUE,America/Chicago,3,35022 35080,1840014827,b:middle,dense,highly educated,low employment,low mortality,low agriculture
1119,Alabama,Sumter,polygon,U,32.5982,-88.1891,FALSE,TRUE,America/Chicago,3,35470,1840005153,a:poor,dense,less educated,low employment,low mortality,low agriculture
1121,Alabama,Talladega,polygon,U,33.3891,-86.0361,FALSE,TRUE,America/Chicago,3,35160,1840016830,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
1125,Alabama,Tuscaloosa,polygon,U,33.2302,-87.4827,FALSE,FALSE,America/Chicago,3,35404,1840013753,c:rich,highly dense,less educated,high employment,medium mortality,low agriculture
1127,Alabama,Walker,polygon,U,33.7503,-87.0483,FALSE,TRUE,America/Chicago,3,35062 35148,1840015640,b:middle,dense,less educated,low employment,medium mortality,low agriculture
1129,Alabama,Washington,polygon,U,31.2649,-88.0284,FALSE,TRUE,America/Chicago,3,36553,1840005189,c:rich,moderately dense,less educated,medium employment,high mortality,best
1131,Alabama,Wilcox,polygon,U,32.0701,-87.2914,FALSE,FALSE,America/Chicago,3,36720 36723,1840025922,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
2110,Alaska,Juneau,polygon,U,58.4546,-134.1739,FALSE,TRUE,America/Juneau,2,99824 99801 99802 99803 99811 99812 99821 99850,1840023306,a:poor,moderately dense,highly educated,low employment,low mortality,good agriculture
